Angle,V_bus,V_shunt,current,time,Angle.1,V_bus.1,V_shunt.1,current.1,time.1,Angle.2,V_bus.2,V_shunt.2,current.2,time.2,Angle.3,V_bus.3,V_shunt.3,current.3,time.3,Angle.4,V_bus.4,V_shunt.4,current.4,time.4,Angle.5,V_bus.5,V_shunt.5,current.5,time.5,Angle.6,V_bus.6,V_shunt.6,current.6,time.6,Angle.7,V_bus.7,V_shunt.7,current.7,time.7,Angle.8,V_bus.8,V_shunt.8,current.8,time.8,Angle.9,V_bus.9,V_shunt.9,current.9,time.9,Angle.10,V_bus.10,V_shunt.10,current.10,time.10,Angle.11,V_bus.11,V_shunt.11,current.11,time.11,Angle.12,V_bus.12,V_shunt.12,current.12,time.12,Angle.13,V_bus.13,V_shunt.13,current.13,time.13,Angle.14,V_bus.14,V_shunt.14,current.14,time.14,Angle.15,V_bus.15,V_shunt.15,current.15,time.15,Angle.16,V_bus.16,V_shunt.16,current.16,time.16,Angle.17,V_bus.17,V_shunt.17,current.17,time.17,Angle.18,V_bus.18,V_shunt.18,current.18,time.18,Angle.19,V_bus.19,V_shunt.19,current.19,time.19,Angle.20,V_bus.20,V_shunt.20,current.20,time.20,Angle.21,V_bus.21,V_shunt.21,current.21,time.21,Angle.22,V_bus.22,V_shunt.22,current.22,time.22,Angle.23,V_bus.23,V_shunt.23,current.23,time.23,Angle.24,V_bus.24,V_shunt.24,current.24,time.24,Angle.25,V_bus.25,V_shunt.25,current.25,time.25,Angle.26,V_bus.26,V_shunt.26,current.26,time.26,Angle.27,V_bus.27,V_shunt.27,current.27,time.27,Angle.28,V_bus.28,V_shunt.28,current.28,time.28,Angle.29,V_bus.29,V_shunt.29,current.29,time.29,Angle,V_bus,V_shunt,current,time
355.43,0.88,-0.03,-0.4,0.9423336982727052,355.43,0.92,5.73,57.2,0.0038950443267822,355.43,0.9,11.91,119.2,0.0,17.67,0.86,9.18,120.3,0.961646318435669,120.85,0.9,12.9,106.6,0.943627119064331,21.01,0.86,10.73,95.5,0.0,354.55,0.86,10.36,135.1,0.0020036697387695,80.86,0.86,9.48,115.0,0.0,32.52,0.83,9.6,154.4,0.961540937423706,266.4,0.85,14.48,92.1,0.0,134.21,0.88,10.41,163.0,0.0,285.64,0.9,10.5,82.3,0.9341087341308594,326.16,0.89,10.45,96.3,0.9398722648620604,6.01,0.86,15.09,89.5,0.0065016746520996,89.0,0.86,15.36,89.7,0.0,249.87,0.92,9.1,127.3,0.9404613971710204,177.19,0.88,12.53,106.0,0.0020372867584228,229.92,0.9,13.67,142.7,0.942500114440918,55.74,0.86,11.8,106.0,0.0,61.63,0.83,15.6,123.4,0.0086112022399902,11.16,0.86,16.85,93.8,0.0,0.88,0.92,16.17,141.6,0.0,118.3,0.86,16.6,151.0,0.0,9.0,0.88,18.53,136.0,0.0,137.64,0.89,13.33,136.9,0.0,225.18,0.86,14.48,168.4,0.0,285.73,0.88,17.31,151.1,0.0018703937530517,75.41,0.9,16.61,152.4,0.941033124923706,196.96,0.87,15.42,169.3,0.0,274.92,0.87,15.39,145.9,0.0,230.45,0.88,16.11,143.9,0.0011396408081054688
355.43,0.97,-0.03,-0.3,0.9736201763153076,355.43,0.88,5.73,57.3,0.0038950443267822,355.43,0.88,11.91,119.3,0.0,16.7,0.88,11.23,80.7,0.9776525497436525,119.27,0.86,9.59,93.8,0.9596900939941406,7.03,0.91,11.15,143.2,0.0,334.25,0.88,14.94,107.0,0.0020036697387695,59.33,0.87,10.37,109.3,0.0,27.6,0.88,13.89,89.9,0.9872534275054932,232.56,0.96,12.28,100.3,0.0,93.43,0.88,14.31,100.4,0.0,278.17,0.84,9.87,159.7,0.9668409824371338,317.81,0.91,9.46,116.6,0.9645886421203612,102.57,0.86,14.83,148.7,0.0065016746520996,216.3,0.89,8.54,97.9,0.0,238.71,0.88,14.83,109.9,0.9696626663208008,105.73,0.86,12.43,109.0,0.0020372867584228,217.0,0.85,15.07,152.6,0.9620404243469238,74.62,0.87,13.26,149.5,0.0,74.53,0.86,10.82,103.5,0.0086112022399902,283.54,0.91,17.24,118.1,0.0,238.45,0.91,12.85,154.4,0.0,15.29,0.9,16.64,142.3,0.0,346.73,0.86,17.08,132.5,0.0,22.94,0.92,15.55,155.4,0.0,106.87,0.84,17.16,161.1,0.0,163.21,0.86,15.9,141.5,0.0018703937530517,54.84,0.84,15.61,183.2,0.9649209976196288,63.46,0.91,17.12,137.5,0.0,16.81,0.9,14.2,137.1,0.0,83.94,0.9,14.64,152.5,0.0011396408081054688
355.43,0.89,-0.05,-0.3,0.9965112209320068,355.43,0.87,5.75,56.8,0.0038950443267822,355.43,0.89,11.95,119.4,0.0,15.82,0.89,7.28,80.5,1.0112574100494385,117.77,0.86,12.88,96.1,0.9967997074127196,353.06,0.91,9.41,90.0,0.0,286.52,0.89,9.79,139.2,0.9658048152923584,247.06,0.86,10.8,110.2,0.9394247531890868,22.76,0.92,14.19,92.2,1.0109903812408447,11.95,0.9,15.0,101.5,0.0,54.49,0.9,12.2224,95.9,0.0,270.62,0.88,15.7,111.4,0.9940524101257324,309.38,0.88,12.23,161.8,0.992494821548462,47.29,0.86,10.25,146.5,0.0065016746520996,159.87,0.84,11.56,90.0,0.0,227.9,0.9,14.09,161.6,0.9929182529449464,34.45,0.87,14.8,134.7,0.0020372867584228,204.35,0.85,15.43,157.4,0.9945251941680908,354.29,0.84,15.86,146.9,0.0,348.66,0.88,11.73,11.0,0.0086112022399902,189.76,0.9,17.43,113.5,0.0,139.57,0.86,13.77,143.6,0.0,66.71,0.91,15.13,174.7,0.0,237.13,0.88,18.54,135.2,0.0,271.23,0.92,15.84,141.3,0.0,347.34,0.92,16.22,182.4,0.0,188.96,0.87,12.61,157.2,0.9585278034210204,33.57,0.88,17.3,151.1,0.9870965480804444,293.29,0.91,16.48,151.6,0.0,334.95,0.87,12.77,167.7,0.0,152.93,0.92,13.34,143.8,0.0011396408081054688
355.43,0.86,-0.03,-0.5,1.0253407955169678,355.34,0.88,5.73,56.8,0.0038950443267822,355.43,0.91,0.91,119.0,0.0,11.95,0.87,11.63,100.8,1.0279335975646973,116.19,0.9,12.38,106.1,1.0104124546051023,338.91,0.85,14.54,123.7,0.0,283.18,0.86,9.21,132.9,0.9898843765258788,243.46,0.91,10.07,124.5,0.9702277183532716,358.59,0.9,10.8,117.3,1.0417280197143557,337.32,0.89,10.24,149.6,0.0,214.63,0.87,9.68,126.3,0.0,263.23,0.88,10.1,96.5,1.0174543857574463,300.94,0.89,14.32,134.8,1.0082828998565674,210.06,0.89,8.99,105.1,0.0065016746520996,100.99,0.87,11.29,101.6,0.0,216.83,0.86,11.92,92.5,1.0178403854370115,320.63,0.84,13.09,116.5,0.0020372867584228,188.7,0.92,16.89,166.5,1.012479305267334,121.9,0.91,10.1,125.4,0.9656822681427002,338.47,0.86,10.74,146.9,0.0103843212127685,96.68,0.86,16.96,126.5,0.0,42.71,0.88,9.99,171.0,0.0,325.46,0.9,10.27,159.5,0.0,11.87,0.9,16.57,166.4,0.9601147174835204,156.09,0.9,12.53,138.8,0.0,344.09,0.9,14.75,169.3,0.0,168.13,0.86,15.49,128.7,0.9910516738891602,12.13,0.86,13.96,157.0,1.014836311340332,159.17,0.87,14.01,131.8,0.0,192.74,0.86,14.58,141.0,0.0,6.77,0.87,16.29,147.8,0.0011396408081054688
355.43,0.86,-0.03,-0.3,1.0513830184936523,355.43,0.88,5.71,57.0,0.958153247833252,355.43,0.91,11.98,119.7,0.0,6.24,0.91,9.38,88.4,1.058074712753296,107.67,0.86,12.21,89.1,1.043882131576538,323.79,0.92,9.91,113.9,0.0,279.67,0.91,9.13,116.3,1.015716314315796,239.77,0.86,11.67,99.8,0.9888429641723632,327.39,0.86,12.05,154.8,1.0610582828521729,301.29,0.86,11.62,124.5,0.0,174.46,0.92,11.64,134.8,0.0,219.81,0.84,11.53,163.4,1.0501062870025637,251.46,0.86,9.33,138.9,1.0414276123046875,156.01,0.86,15.09,89.5,0.0065016746520996,275.89,0.86,15.36,89.7,0.0,153.46,0.86,17.1,156.1,1.0468456745147705,248.47,0.86,12.86,109.9,0.0020372867584228,111.8,0.87,15.84,167.3,1.0457031726837158,108.28,0.87,13.67,166.4,0.9884545803070068,249.96,0.86,17.14,169.5,0.0103843212127685,6.94,0.87,11.6,176.6,0.0,310.43,0.9,12.76,144.7,0.0,221.66,0.88,16.2,106.1,0.0,352.97,0.86,13.74,154.4,0.98927903175354,42.63,0.86,17.64,168.2,0.0,225.18,0.86,14.48,168.4,0.0,143.88,0.86,14.98,163.0,1.0250990390777588,257.26,0.83,17.88,169.7,1.031872034072876,26.54,0.91,15.49,172.4,0.0,52.73,0.9,15.89,151.7,0.0030372142791748,230.45,0.88,16.11,143.9,0.0011396408081054688
355.43,0.89,-0.05,-0.4,1.0751025676727295,355.43,0.9,5.68,57.1,0.9917104244232178,355.43,0.9,11.91,119.2,0.0,1.05,0.86,9.66,81.2,1.0777850151062012,98.53,0.87,13.05,121.5,1.0766592025756836,30147.22,0.92,9.42,96.5,0.9398157596588136,261.56,0.88,15.12,104.6,1.0478549003601074,235.99,0.86,14.14,104.1,1.0221502780914309,297.25,0.92,15.46,112.2,1.0934479236602783,266.4,0.85,14.48,92.1,0.0,134.21,0.88,10.41,163.0,0.0,173.32,0.86,9.16,140.3,1.0670936107635498,202.5,0.91,12.55,150.7,1.074653148651123,102.57,0.86,14.83,148.7,0.0065016746520996,216.3,0.89,8.54,97.9,0.0,88.51,0.91,10.61,166.6,1.074951171875,177.19,0.88,12.53,106.0,0.0020372867584228,35.16,0.87,12.27,133.0,1.0624346733093262,95.27,0.87,12.75,86.8,1.0195436477661133,161.63,0.83,15.6,123.4,0.0103843212127685,27112.5,0.91,14.24,167.1,0.9345440864562988,336.88,0.92,16.17,141.6,0.0,118.3,0.86,16.6,151.0,0.0,335.21,0.85,18.73,131.7,1.0105690956115725,137.64,0.89,13.33,136.9,0.0,106.87,0.84,17.16,161.1,0.0,22.15,0.91,17.19,147.3,1.0498647689819336,127.53,0.86,14.42,163.1,1.0652587413787842,196.96,0.87,15.42,169.3,0.0,274.92,0.87,15.39,145.9,0.0030372142791748,83.94,0.9,14.64,152.5,0.0011396408081054688
355.43,0.85,-0.04,-0.3,1.0965454578399658,355.43,0.85,5.65,57.2,1.0178139209747314,355.43,0.88,11.91,119.3,0.0047073364257812,355.78,0.86,11.37,112.6,1.110482931137085,89.65,0.88,9.95,146.6,1.0972621440887451,145.02,0.89,11.33,103.6,0.956455945968628,241.26,0.85,10.48,144.2,1.065786838531494,212.17,0.84,10.21,140.0,1.0390243530273438,266.48,0.91,10.35,104.0,1.1112666130065918,232.56,0.9,12.28,100.3,0.0,93.43,0.88,14.31,100.4,0.0,129.02,0.88,16.47,144.3,1.0998382568359375,151.26,0.88,9.62,112.0,1.0971524715423584,47.29,0.86,10.25,146.5,0.0065016746520996,159.87,0.84,11.56,90.0,0.0,24.7,0.89,10.93,102.4,1.0985090732574463,105.73,0.86,12.43,109.0,0.0020372867584228,319.39,0.91,10.6,102.5,1.0996334552764893,19.16,0.92,10.42,111.1,1.043543815612793,74.53,0.86,10.82,103.5,0.0103843212127685,97.38,0.89,12.21,141.7,0.96771240234375,238.45,0.91,12.85,154.4,0.0,121.99,0.89,16.04,155.4,0.9586923122406006,230.1,0.9,17.43,131.3,1.0438721179962158,22.94,0.92,15.55,155.4,0.0,347.34,0.92,16.22,182.4,0.0,263.06,0.9,14.31,163.0,1.077545166015625,358.68,0.87,16.46,140.0,1.0984046459197998,63.46,0.91,17.12,137.5,0.0,16.81,0.9,14.2,137.1,0.0030372142791748,152.93,0.92,13.34,143.8,0.0011396408081054688
355.43,0.86,-0.06,-0.4,1.1284129619598389,355.43,0.87,5.73,57.1,1.0416638851165771,355.43,0.89,11.95,119.4,0.0047073364257812,350.51,0.87,10.35,115.7,1.1316931247711182,80.77,0.9,7.94,103.2,1.1104717254638672,142.82,0.86,14.44,115.4,0.9936213493347168,220.69,0.86,13.67,96.2,1.100430250167847,188.26,0.88,12.63,101.7,1.0728955268859863,235.9,0.88,9.09,116.0,1.1445467472076416,11.95,0.9,15.0,101.5,0.0,326.78,0.86,10.75,143.6,0.9619786739349364,83.58,0.89,13.74,89.8,1.1174025535583496,102.74,0.95,10.71,162.7,1.125446319580078,210.06,0.89,8.99,105.1,0.0065016746520996,100.99,0.87,11.29,101.6,0.0,320.54,0.87,15.33,100.7,1.1258738040924072,264.73,0.87,10.94,96.7,0.9676413536071776,242.23,0.88,11.14,116.0,1.1289372444152832,299.36,0.88,16.71,172.5,1.0675692558288574,308.06,0.87,10.8,103.8,0.9680564403533936,82.18,0.91,11.23,146.3,0.988428831100464,139.57,0.86,13.77,143.6,0.0,104.85,0.84,10.33,165.8,0.991837739944458,121.11,0.89,18.2,134.8,1.0736777782440186,271.23,0.92,15.84,141.3,0.0,149.85,0.89,17.05,146.6,0.9712777137756348,140.36,0.87,14.83,146.6,1.0914323329925537,228.96,0.86,13.73,179.1,1.116034746170044,293.29,0.91,16.48,151.6,0.0,334.95,0.87,12.77,167.7,0.0030372142791748,6.77,0.87,16.29,147.8,0.0011396408081054688
355.43,0.87,-0.04,-0.5,1.1424927711486816,355.43,0.88,5.76,57.3,1.0577495098114014,355.43,0.87,11.98,120.6,0.9688894748687744,344.79,0.84,7.68,96.1,1.1601178646087646,71.98,0.88,9.82,96.0,1.1495683193206787,140.45,0.87,10.32,148.5,1.006645441055298,201.18,0.88,9.86,136.3,1.1155462265014648,164.18,0.87,10.73,105.7,1.095530986785889,206.72,0.9,13.21,90.4,1.1767184734344482,337.32,0.89,10.24,149.6,0.0,319.92,0.91,9.69,155.9,0.9896206855773926,40.78,0.88,10.22,163.4,1.1507422924041748,52.21,0.9,15.09,119.1,1.151390552520752,156.01,0.86,15.09,89.5,0.0065016746520996,275.89,0.86,15.36,89.7,0.0,253.74,0.92,16.56,138.9,1.142963171005249,252.77,0.86,11.45,150.0,0.9947199821472168,164.27,0.86,14.78,148.6,1.145474910736084,216.56,0.87,12.71,107.2,1.1004493236541748,293.47,0.91,18.17,162.9,0.9999125003814696,66.71,0.86,16.73,109.8,1.0168869495391846,42.71,0.88,9.99,171.0,0.0,84.02,0.92,14.27,129.5,1.018334150314331,12.22,0.86,14.76,163.1,1.0941205024719238,156.09,0.9,12.53,138.8,0.0,131.04,0.9,15.36,133.5,0.9934020042419434,18.72,0.95,13.11,159.0,1.1251251697540283,99.84,0.87,16.81,169.1,1.1486256122589111,159.17,0.87,14.01,131.8,0.0,192.74,0.86,14.58,141.0,0.0030372142791748,230.45,0.88,16.11,143.9,0.0011396408081054688
355.43,0.92,-0.03,-0.3,1.1826481819152832,355.43,0.91,5.75,56.9,1.0914559364318848,355.43,0.88,12.03,120.5,0.991034746170044,339.35,0.9,7.83,85.8,1.1777653694152832,63.54,0.9,9.66,89.5,1.173717737197876,126.74,0.9,10.99,112.8,1.0401055812835691,181.41,0.84,9.58,122.5,1.1490271091461182,140.63,0.84,10.33,134.4,1.122574806213379,177.71,0.89,13.48,161.2,1.1978015899658203,301.29,0.86,11.62,124.5,0.0,313.07,0.87,12.48,106.8,1.011711835861206,355.25,0.87,10.94,153.1,1.176830530166626,2.29,0.86,13.2,148.0,1.1746621131896973,102.57,0.86,14.83,148.7,0.0065016746520996,216.3,0.89,8.54,97.9,0.0050022602081298,187.56,0.86,10.16,161.8,1.176854133605957,241.17,0.9,9.43,128.4,1.0131542682647705,88.42,0.92,16.63,162.9,1.178851842880249,135.0,0.92,12.77,144.4,1.1174602508544922,275.63,0.9,10.61,112.2,1.0180134773254397,339.43,0.89,16.3,108.1,1.033782720565796,243.9,0.9,15.4,126.3,0.9676380157470704,343.74,0.9,17.89,131.4,1.0421006679534912,266.13,0.91,15.93,147.9,1.1269991397857666,88.51,0.91,13.88,156.9,0.9650702476501464,107.58,0.86,18.35,165.7,1.0262629985809326,259.54,0.9,16.46,144.6,1.1546962261199951,334.95,0.88,16.79,143.7,1.1773910522460938,136.05,0.85,18.06,134.2,0.967266321182251,52.73,0.9,15.89,151.7,0.0030372142791748,83.94,0.9,14.64,152.5,0.0011396408081054688
