Angle,V_bus,V_shunt,current,time,Angle.1,V_bus.1,V_shunt.1,current.1,time.1,Angle.2,V_bus.2,V_shunt.2,current.2,time.2,Angle.3,V_bus.3,V_shunt.3,current.3,time.3,Angle.4,V_bus.4,V_shunt.4,current.4,time.4,Angle.5,V_bus.5,V_shunt.5,current.5,time.5,Angle.6,V_bus.6,V_shunt.6,current.6,time.6,Angle.7,V_bus.7,V_shunt.7,current.7,time.7,Angle.8,V_bus.8,V_shunt.8,current.8,time.8,Angle.9,V_bus.9,V_shunt.9,current.9,time.9,Angle.10,V_bus.10,V_shunt.10,current.10,time.10,Angle.11,V_bus.11,V_shunt.11,current.11,time.11,Angle,V_bus,V_shunt,current,time
0.0,7.82,0.03,0.3,0.0,0.0,2.06,23.08,107.7,0.0,0.0,3.11,40.0,400.0,0.0,359.91,9.93,40.0,400.0,0.9389770030975342,359.91,6.09,40.0,400.0,0.9530971050262452,0.0,0.0,40.0,400.0,0.0009992122650146,0.0,0.0,40.0,400.0,0.0,359.91,2.72,40.0,400.0,0.0,0.0,4.8,148.38,400.0,0.9460079669952391,359.91,0.92,161.29,400.0,0.9391016960144044,359.91,0.0,40.0,400.0,0.9427123069763184,0.0,3.54,40.0,400.0,0.937429428100586,359.91,1.4,40.0,400.0,0.015503644943237305
0.0,5.37,0.02,0.2,0.0,0.0,0.0,13.57,224.9,0.0,0.0,9.54,40.0,400.0,0.0,359.91,3.45,40.0,400.0,0.9725055694580078,359.91,6.82,40.0,400.0,0.9787585735321044,0.0,4.16,40.0,400.0,0.0009992122650146,0.0,0.0,40.0,400.0,0.0,359.91,0.0,40.0,400.0,0.0,0.0,7.69,40.0,400.0,0.9625160694122314,359.91,9.44,40.0,400.0,0.9714255332946776,359.91,6.81,40.0,400.0,0.9749794006347656,0.0,0.0,40.0,400.0,0.9584269523620604,359.91,0.0,40.0,400.0,0.015503644943237305
0.0,2.66,0.01,0.2,0.0156302452087402,0.0,2.76,23.99,240.1,0.0,0.0,2.92,40.0,400.0,0.0,359.91,0.0,29.27,315.7,1.0058023929595947,359.91,1.91,40.0,400.0,0.9953343868255616,0.0,6.31,40.0,400.0,0.0009992122650146,0.0,3.43,40.0,400.0,0.0,359.91,11.2,40.0,400.0,0.0,0.0,2.3,40.0,400.0,0.9949517250061036,359.91,3.38,40.0,400.0,0.9889161586761476,359.91,7.23,40.0,400.0,1.007368087768555,0.0,0.0,40.0,400.0,0.9874632358551024,359.91,8.59,40.0,400.0,0.015503644943237305
0.0,1.86,0.02,0.0,0.0156302452087402,0.0,8.58,24.03,239.9,0.0,0.0,0.0,29.82,400.0,0.0,359.91,9.57,40.0,400.0,1.0225253105163574,359.91,9.88,40.0,400.0,1.0288934707641602,0.0,5.74,40.0,400.0,0.0019993782043457,0.0,9.01,40.0,400.0,0.0,391.0,0.0,40.0,400.0,0.0,0.0,0.0,40.0,400.0,1.012237787246704,359.91,9.12,40.0,400.0,1.0235726833343506,359.91,0.0,40.0,400.0,1.0315325260162354,0.0,3.81,40.0,400.0,1.0039184093475342,359.91,9.21,40.0,400.0,0.016419410705566406
0.0,0.0,0.01,0.1,0.0156302452087402,0.0,0.0,19.78,113.4,0.9612066745758056,0.0,3.11,40.0,400.0,0.0,359.91,1.63,40.0,297.5,1.0561621189117432,359.91,2.95,40.0,400.0,1.0618834495544434,0.0,1.27,40.0,400.0,0.0019993782043457,0.0,2.71,40.0,400.0,0.0,359.91,9.6,40.0,400.0,0.0,0.0,0.39,40.0,400.0,1.0442028045654297,359.91,3.73,40.0,400.0,1.0384340286254885,359.91,7.63,40.0,400.0,1.0586316585540771,0.0,6.98,40.0,400.0,1.0371601581573486,359.91,1.4,40.0,400.0,0.016419410705566406
359.91,7.86,0.03,0.2,0.9712371826171876,0.0,0.0,19.96,237.3,0.9946732521057128,0.0,9.54,40.0,400.0,0.0,359.91,0.24,40.0,400.0,1.087609052658081,359.91,0.0,40.0,400.0,1.0791809558868408,0.0,0.0,40.0,400.0,0.0019993782043457,0.0,0.0,40.0,400.0,0.0,359.91,2.72,40.0,400.0,0.0,0.0,10.64,40.0,400.0,1.0620863437652588,359.91,0.0,40.0,400.0,1.0722076892852783,359.91,0.19,40.0,400.0,1.078439474105835,0.0,1.81,40.0,400.0,1.054070234298706,359.91,0.0,40.0,400.0,0.016419410705566406
359.91,2.4,0.02,0.2,0.9965016841888428,0.0,3.42,23.74,237.1,1.0115587711334229,0.0,2.92,40.0,400.0,0.0,359.91,7.84,40.0,400.0,1.1056914329528809,359.91,10.61,40.0,400.0,1.112372875213623,0.0,4.16,40.0,400.0,0.0019993782043457,0.0,6.98,40.0,400.0,0.9635891914367676,359.91,0.0,40.0,400.0,0.0,0.0,1.84,40.0,400.0,1.0968096256256104,359.91,9.44,40.0,400.0,1.10564923286438,359.91,2.07,40.0,400.0,1.108391046524048,0.0,0.0,40.0,400.0,1.0872995853424072,359.91,8.59,40.0,400.0,0.017418861389160156
359.91,0.0,0.01,0.1,1.0211937427520752,0.0,8.34,23.59,235.5,1.0445406436920166,0.0,4.85,40.0,400.0,0.9546504020690918,359.91,0.0,29.08,315.3,1.1392171382904053,359.91,0.6,40.0,400.0,1.143784999847412,0.0,6.31,40.0,400.0,0.0019993782043457,0.0,2.1,40.0,400.0,1.0001132488250732,359.91,11.2,40.0,400.0,0.0,0.0,0.0,40.0,400.0,1.112016677856445,359.91,3.25,40.0,400.0,1.1220686435699463,359.91,7.08,40.0,400.0,1.1414453983306885,0.0,3.88,40.0,400.0,1.119704008102417,359.91,4.73,40.0,400.0,0.9699561595916748
359.91,0.0,0.02,0.1,1.037595272064209,0.0,2.71,23.45,203.8,1.0612170696258545,0.0,0.0,40.0,247.3,0.988753080368042,359.91,2.05,40.0,400.0,1.1557748317718506,359.91,0.85,40.0,400.0,1.1719160079956057,0.0,0.08,40.0,400.0,0.9557578563690186,0.0,0.0,40.0,400.0,1.0134940147399902,3359.91,7.5,40.0,400.0,0.9417150020599364,0.0,1.04,40.0,400.0,1.1455001831054688,359.91,0.0,40.0,400.0,1.1591167449951172,359.91,0.0,40.0,400.0,1.1580886840820312,0.0,7.3,40.0,400.0,1.137251377105713,359.91,0.0,40.0,400.0,1.010789155960083
359.91,3.53,0.02,0.2,1.0706961154937744,0.0,0.0,12.99,202.1,1.094613552093506,0.0,0.0,38.86,400.0,1.0049381256103516,359.91,6.82,40.0,400.0,1.1892096996307373,359.91,8.3,40.0,400.0,1.1952369213104248,0.0,5.06,40.0,400.0,0.9893844127655028,0.0,3.35,40.0,400.0,1.0467400550842283,359.91,2.17,40.0,400.0,0.974924087524414,0.0,9.55,40.0,400.0,1.162139892578125,359.91,10.59,40.0,400.0,1.1880743503570557,359.91,2.85,40.0,400.0,1.19161057472229,359.91,0.08,40.0,400.0,1.168873310089111,359.91,8.58,40.0,400.0,1.0303587913513184
359.91,11.26,0.03,0.2,1.08734393119812,0.0,2.32,23.52,235.3,1.110948085784912,0.0,2.82,40.0,400.0,1.0383718013763428,359.91,0.0,30.59,359.7,1.222318410873413,359.91,0.0,40.0,400.0,1.2125496864318848,0.0,6.9,40.0,400.0,1.0060052871704102,0.0,9.99,40.0,400.0,1.0636003017425537,359.91,0.0,40.0,400.0,0.99251389503479,0.0,2.1,40.0,400.0,1.1953456401824951,359.91,1.21,40.0,400.0,1.205479383468628,359.91,4.94,40.0,400.0,1.2232699394226074,359.91,2.19,40.0,400.0,1.187307357788086,359.91,0.48,40.0,400.0,1.0615026950836182
359.91,2.82,0.02,0.2,1.120246171951294,0.0,9.5,23.39,234.1,1.1440815925598145,0.0,6.89,40.0,400.0,1.0552411079406738,359.91,2.98,40.0,400.0,1.2402527332305908,359.91,3.56,40.0,400.0,1.2536406517028809,0.0,1.71,40.0,400.0,1.0380356311798096,0.0,3.4,40.0,400.0,1.096435546875,359.91,5.41,40.0,400.0,1.0252599716186523,0.0,0.0,40.0,400.0,1.2123661041259766,359.91,0.1,40.0,400.0,1.2383856773376465,359.91,0.0,40.0,400.0,1.241145133972168,359.91,6.67,40.0,400.0,1.220548391342163,359.91,0.53,40.0,400.0,1.0771269798278809
359.91,0.0,0.01,0.1,1.137443780899048,0.0,2.73,23.64,236.4,1.1606905460357666,0.0,1.86,40.0,400.0,1.0879182815551758,359.91,4.52,40.0,400.0,1.2725255489349363,359.91,5.96,40.0,400.0,1.2783117294311523,0.0,0.0,40.0,400.0,1.0561654567718506,0.0,0.0,40.0,400.0,1.113248348236084,359.91,0.0,40.0,400.0,1.0566446781158447,0.0,0.64,40.0,400.0,1.245784044265747,359.91,8.47,40.0,400.0,1.270216703414917,359.91,4.08,40.0,400.0,1.2751266956329346,359.91,0.0,40.0,400.0,1.2370703220367432,359.91,6.49,40.0,400.0,1.1084582805633545
359.91,0.0,0.02,0.2,1.153960943222046,0.0,0.0,15.11,192.9,1.1945998668670654,0.0,0.0,33.05,400.0,1.107952117919922,359.91,0.0,32.34,400.0,1.305133819580078,359.91,0.0,40.0,400.0,1.295802354812622,0.0,4.75,40.0,400.0,1.0879175662994385,0.0,2.26,40.0,400.0,1.1467819213867188,359.91,4.92,40.0,400.0,1.0745346546173096,0.0,8.32,40.0,400.0,1.262347936630249,359.91,0.0,40.0,400.0,1.2894673347473145,359.91,3.04,40.0,400.0,1.291902780532837,359.91,4.09,40.0,400.0,1.270543336868286,359.91,0.0,40.0,400.0,1.1397852897644043
359.91,4.84,0.02,0.3,1.1874494552612305,0.0,2.91,23.89,238.4,1.210986852645874,0.0,3.89,40.0,400.0,1.1381096839904783,359.91,7.9,40.0,400.0,1.3230938911437988,359.91,3.77,40.0,400.0,1.3292813301086426,0.0,7.44,40.0,400.0,1.1061346530914309,0.0,10.47,40.0,400.0,1.163395881652832,359.91,4.79,40.0,400.0,1.1079673767089844,0.0,2.36,40.0,400.0,1.295562505722046,359.91,1.06,40.0,400.0,1.3225409984588623,359.91,0.0,40.0,400.0,1.3298943042755127,359.91,4.52,40.0,400.0,1.303964614868164,359.91,3.2,40.0,400.0,1.1710524559020996
359.91,9.51,0.03,0.3,1.20404052734375,0.0,10.17,23.87,238.7,1.2440674304962158,0.0,7.28,40.0,400.0,1.155254364013672,359.91,3.08,40.0,400.0,1.3577256202697754,0.0,6.89,40.0,400.0,1.3605268001556396,0.0,1.88,40.0,400.0,1.1241657733917236,0.0,2.67,40.0,400.0,1.2009081840515137,359.91,0.0,40.0,400.0,1.1250629425048828,0.0,0.0,40.0,400.0,1.3128361701965332,359.91,6.28,40.0,400.0,1.3425509929656982,359.91,10.16,40.0,400.0,1.3591086864471436,359.91,0.0,40.0,400.0,1.3247101306915283,359.91,4.34,40.0,400.0,1.195204257965088
359.91,3.7,0.02,0.2,1.2373015880584717,0.0,2.19,23.88,141.8,1.2603192329406738,0.0,1.93,40.0,246.1,1.188495397567749,359.91,0.0,40.0,400.0,1.3867952823638916,0.0,2.01,40.0,400.0,1.38547945022583,0.0,0.0,40.0,400.0,1.155529260635376,0.0,0.0,40.0,400.0,1.2133638858795166,359.91,7.59,40.0,400.0,1.1583502292633057,0.0,0.59,40.0,400.0,1.346299409866333,359.91,0.0,40.0,400.0,1.3770833015441897,359.91,2.06,40.0,400.0,1.378739833831787,359.91,3.83,40.0,400.0,1.3575763702392578,359.91,0.0,40.0,400.0,1.2185721397399902
359.91,0.0,0.0,0.1,1.2631888389587402,0.0,0.0,17.27,226.6,1.294957160949707,0.0,0.0,31.04,400.0,1.2049455642700195,359.91,10.61,40.0,400.0,1.403681755065918,0.0,0.0,40.0,400.0,1.4092435836791992,0.0,4.22,40.0,400.0,1.188941478729248,0.0,3.55,40.0,400.0,1.2479023933410645,359.91,3.02,40.0,400.0,1.1908602714538574,0.0,8.71,40.0,400.0,1.367084503173828,359.91,1.59,40.0,400.0,1.4045233726501465,359.91,0.0,40.0,400.0,1.4050374031066897,359.91,2.76,40.0,400.0,1.3851070404052734,359.91,7.64,40.0,400.0,1.252105474472046
359.91,0.0,0.02,0.2,1.2873663902282717,0.0,3.16,23.85,238.3,1.3117311000823977,0.0,3.97,40.0,400.0,1.238196611404419,359.91,1.93,40.0,289.3,1.4385936260223389,0.0,5.56,40.0,400.0,1.4289798736572266,0.0,8.0,40.0,400.0,1.2060420513153076,0.0,9.25,40.0,400.0,1.263857126235962,359.91,0.0,40.0,400.0,1.2075319290161133,0.0,2.66,40.0,400.0,1.3968651294708252,359.91,4.23,40.0,400.0,1.420260667800903,359.91,8.3,40.0,400.0,1.4363372325897217,359.91,0.0,40.0,400.0,1.4020841121673584,359.91,3.7,40.0,400.0,1.2658283710479736
359.91,3.44,0.02,0.3,1.304037094116211,0.0,8.49,23.86,238.7,1.3466544151306152,0.0,7.59,40.0,400.0,1.255251407623291,359.91,1.4,40.0,400.0,1.4664530754089355,0.0,7.52,40.0,400.0,1.459394454956055,0.0,2.07,40.0,400.0,1.2384822368621826,0.0,2.18,40.0,400.0,1.296823501586914,359.91,10.41,40.0,400.0,1.244489669799805,0.0,0.0,40.0,400.0,1.4117426872253418,359.91,0.0,40.0,400.0,1.4514901638031006,359.91,1.02,40.0,400.0,1.4519729614257812,359.91,10.22,40.0,400.0,1.433933973312378,359.91,0.0,40.0,400.0,1.3088562488555908
