Angle,V_bus,V_shunt,current,time,Angle.1,V_bus.1,V_shunt.1,current.1,time.1,Angle.2,V_bus.2,V_shunt.2,current.2,time.2,Angle.3,V_bus.3,V_shunt.3,current.3,time.3,Angle.4,V_bus.4,V_shunt.4,current.4,time.4,Angle.5,V_bus.5,V_shunt.5,current.5,time.5,Angle.6,V_bus.6,V_shunt.6,current.6,time.6,Angle.7,V_bus.7,V_shunt.7,current.7,time.7,Angle.8,V_bus.8,V_shunt.8,current.8,time.8,Angle.9,V_bus.9,V_shunt.9,current.9,time.9,Angle.10,V_bus.10,V_shunt.10,current.10,time.10,Angle.11,V_bus.11,V_shunt.11,current.11,time.11,Angle.12,V_bus.12,V_shunt.12,current.12,time.12,Angle.13,V_bus.13,V_shunt.13,current.13,time.13,Angle.14,V_bus.14,V_shunt.14,current.14,time.14,Angle.15,V_bus.15,V_shunt.15,current.15,time.15,Angle.16,V_bus.16,V_shunt.16,current.16,time.16,Angle.17,V_bus.17,V_shunt.17,current.17,time.17,Angle.18,V_bus.18,V_shunt.18,current.18,time.18,Angle.19,V_bus.19,V_shunt.19,current.19,time.19,Angle.20,V_bus.20,V_shunt.20,current.20,time.20,Angle.21,V_bus.21,V_shunt.21,current.21,time.21,Angle.22,V_bus.22,V_shunt.22,current.22,time.22,Angle.23,V_bus.23,V_shunt.23,current.23,time.23,Angle.24,V_bus.24,V_shunt.24,current.24,time.24,Angle.25,V_bus.25,V_shunt.25,current.25,time.25,Angle.26,V_bus.26,V_shunt.26,current.26,time.26,Angle.27,V_bus.27,V_shunt.27,current.27,time.27,Angle.28,V_bus.28,V_shunt.28,current.28,time.28,Angle.29,V_bus.29,V_shunt.29,current.29,time.29,Angle.30,V_bus.30,V_shunt.30,current.30,time.30,Angle.31,V_bus.31,V_shunt.31,current.31,time.31,Angle.32,V_bus.32,V_shunt.32,current.32,time.32,Angle.33,V_bus.33,V_shunt.33,current.33,time.33,Angle.34,V_bus.34,V_shunt.34,current.34,time.34,Angle.35,V_bus.35,V_shunt.35,current.35,time.35,Angle,V_bus,V_shunt,current,time
146.6,9.48,0.03,0.2,0.9293363094329834,161.19,0.36,2.26,22.5,0.9317455291748048,161.02,0.3,8.83,87.9,0.9324169158935548,331.08,7.74,16.51,108.1,0.929213523864746,333.98,0.0,14.08,72.3,0.931882381439209,354.99,3.44,7.29,80.5,0.9325780868530272,217.53,3.3,12.39,75.4,0.9318432807922364,316.14,12.97,13.48,161.9,0.9360949993133544,159.43,3.34,11.0,96.5,0.9298305511474608,209.44,0.28,12.12,84.6,0.9327855110168456,34.98,0.14,12.33,85.1,0.9309334754943848,235.99,11.71,15.97,89.3,0.937763214111328,31.46,5.04,11.15,124.8,0.9309399127960204,263.06,1.93,7.78,192.9,0.9338390827178956,81.12,12.84,19.57,121.8,0.934372901916504,125.07,0.0,9.35,78.7,0.9320242404937744,314.3,12.23,10.28,107.0,0.9361910820007324,349.1,0.0,12.24,158.7,0.9356191158294678,327.04,9.2,10.59,158.6,0.933912754058838,9.76,10.65,13.62,101.8,0.9307794570922852,82.27,2.67,13.72,174.6,0.9314091205596924,23.99,11.76,13.69,143.1,0.93062424659729,30.41,3.38,12.23,107.2,0.9299688339233398,340.4,11.36,11.5,164.3,0.9356920719146729,307.35,0.06,15.71,118.4,0.9332704544067384,243.02,4.1,15.94,115.4,0.9313204288482666,296.46,0.0,10.44,145.3,0.9336938858032228,337.32,10.27,14.98,141.2,0.9348211288452148,263.14,2.35,17.19,144.1,0.9348583221435548,109.86,0.87,14.32,137.5,0.9320595264434814,243.02,0.74,15.25,136.1,0.9302754402160645,223.15,2.96,16.57,152.4,0.9327902793884276,219.38,0.0,10.94,98.2,0.9274849891662598,135.09,11.77,16.64,155.1,0.9311254024505616,344.36,0.0,13.31,177.6,0.931894063949585,,,,,,,,,,
146.6,3.07,0.02,0.2,0.9533536434173584,161.19,9.94,2.24,22.6,0.9610838890075684,160.93,12.14,8.8,88.0,0.9562258720397948,329.85,7.02,8.16,54.6,0.957808256149292,331.96,0.2,8.48,170.7,0.9564666748046876,352.09,0.0,6.6,71.8,0.9579203128814696,213.93,10.53,10.49,161.3,0.961050033569336,311.57,6.17,11.93,95.4,0.9599902629852296,154.07,0.0,7.24,122.6,0.9536354541778564,203.12,9.16,13.79,110.3,0.9572408199310304,27.6,4.88,14.33,130.6,0.9543981552124025,227.29,3.17,6.2,152.6,0.9620404243469238,21.97,0.0,10.21,114.7,0.9593074321746826,252.77,11.41,9.56,112.7,0.9620003700256348,69.61,5.71,7.77,138.3,0.9611120223999025,113.38,0.86,10.1,92.1,0.9563157558441162,301.29,4.81,10.97,101.5,0.9603533744812012,334.95,1.54,12.21,105.7,0.9596397876739502,312.28,2.71,13.85,87.7,0.9599893093109132,354.11,6.7,19.02,138.2,0.9583139419555664,65.13,0.0,11.25,122.0,0.9567174911499025,6.59,5.56,13.95,129.5,0.9592690467834472,11.07,11.21,13.84,149.9,0.9565765857696532,321.06,5.54,10.62,120.6,0.9608273506164552,287.49,4.26,13.94,111.3,0.9619548320770264,222.19,0.0,8.03,118.8,0.9600486755371094,274.92,0.34,12.12,173.8,0.9581239223480223,314.65,3.55,13.47,143.9,0.9622697830200196,239.33,0.0,10.08,137.2,0.959913969039917,86.13,12.0,17.95,162.2,0.9564833641052246,217.44,10.62,13.73,151.7,0.9581990242004396,197.23,0.0,8.85,137.3,0.9591226577758788,193.36,0.0,15.71,153.7,0.9597115516662598,107.84,5.03,17.08,168.0,0.9598205089569092,315.18,2.3,17.13,156.0,0.9599564075469972,,,,,,,,,,
146.51,0.0,0.07,-0.2,0.9782545566558838,161.19,7.33,2.26,22.6,0.985265016555786,161.02,5.4,8.81,87.6,0.9806234836578368,328.62,2.12,9.29,131.3,0.9851298332214355,329.77,5.74,3.87,48.1,0.9846305847167968,349.1,0.14,14.13,107.4,0.9865350723266602,210.06,3.58,7.6,140.4,0.9876918792724608,307.18,0.25,7.86,100.5,0.9878878593444824,148.27,0.24,15.25,141.4,0.9818143844604492,196.79,7.35,13.83,116.9,0.9865810871124268,19.6,8.15,10.62,195.4,0.9826817512512208,218.67,0.0,10.83,83.3,0.9867205619812012,12.92,0.25,9.95,171.4,0.9832565784454346,242.4,3.0,10.29,82.9,0.9874582290649414,58.01,0.0,14.93,51.0,0.9848897457122804,101.6,12.16,13.72,181.2,0.986846923828125,287.4,0.0,10.18,78.2,0.9887189865112304,320.71,9.98,7.61,91.9,0.9840037822723388,297.6,0.0,10.34,158.2,0.982579469680786,338.2,1.9,12.39,91.8,0.9869165420532228,48.34,1.02,15.4,128.8,0.982862949371338,349.45,0.94,15.22,85.5,0.9835832118988036,353.14,4.43,17.95,115.4,0.9863393306732178,301.55,0.94,11.59,82.7,0.989177942276001,267.1,8.2,14.19,115.3,0.985300064086914,202.32,0.33,13.4,146.7,0.9838588237762452,253.3,11.73,14.68,123.8,0.986821174621582,292.41,0.0,9.59,102.8,0.9872658252716064,216.65,0.75,16.77,167.6,0.9897913932800292,61.79,5.11,17.32,149.9,0.9859294891357422,192.04,3.83,15.66,155.2,0.9900493621826172,172.09,0.38,15.1,151.0,0.9881258010864258,167.52,2.94,15.63,180.2,0.9880549907684326,79.54,0.0,17.06,123.6,0.9840531349182128,287.14,11.08,16.15,177.0,0.9889779090881348,,,,,,,,,,
146.6,0.45,0.02,0.2,1.001359939575195,161.19,0.0,2.24,15.4,1.0092694759368896,161.02,0.0,6.23,72.3,1.0059700012207031,327.48,2.47,7.33,75.8,1.0095112323760986,327.57,3.26,8.49,74.6,1.0096156597137451,346.03,10.43,8.38,118.2,1.010962963104248,206.54,2.96,7.65,130.4,1.0172653198242188,302.61,9.97,11.77,64.1,1.013740301132202,142.73,5.57,11.05,76.0,1.0102229118347168,190.37,0.0,20.82,87.1,1.008694410324097,11.95,0.0,11.59,139.8,1.0066912174224854,210.41,13.07,19.48,81.7,1.0156512260437012,3.78,11.46,15.99,101.6,1.0084311962127686,231.94,1.02,13.45,101.5,1.0156128406524658,46.67,1.73,16.05,170.4,1.0092973709106443,89.91,0.0,6.87,61.1,1.0105831623077393,272.02,10.77,10.93,121.5,1.017996311187744,307.53,0.0,13.86,135.6,1.0129868984222412,282.48,10.72,14.99,114.0,1.0099751949310305,322.65,3.04,11.31,122.8,1.012127161026001,31.99,7.83,17.57,148.4,1.0068325996398926,331.96,3.02,13.03,125.7,1.0123610496520996,335.04,1.44,17.92,114.2,1.0140559673309326,278.44,11.67,11.76,110.9,1.016913890838623,242.23,0.19,12.09,123.4,1.013540267944336,181.67,3.57,16.37,127.5,1.012991428375244,222.45,0.0,12.25,118.3,1.0157546997070312,264.99,9.93,13.95,137.6,1.0164844989776611,188.44,2.13,17.48,90.2,1.011897087097168,37.18,0.11,15.14,160.7,1.009857177734375,156.36,3.84,16.17,172.2,1.0140066146850586,145.63,3.46,17.51,156.3,1.012592315673828,140.36,0.01,16.73,115.5,1.0118186473846436,45.18,9.48,16.88,189.7,1.0137083530426023,244.42,0.0,18.25,164.5,1.0131442546844482,,,,,,,,,,
146.6,2.53,0.02,0.2,1.0253829956054688,161.19,0.47,2.24,22.4,1.0328428745269775,161.02,0.56,8.74,87.6,1.0293962955474854,321.77,10.92,9.69,109.9,1.037961721420288,317.11,0.0,6.83,81.1,1.0340144634246826,330.03,0.0,5.13,92.6,1.0353920459747314,184.31,7.59,6.99,148.6,1.038076400756836,274.66,5.01,17.4,79.8,1.037968397140503,111.97,0.0,7.24,160.9,1.034165859222412,152.93,11.14,18.53,134.1,1.040520191192627,333.19,3.43,10.01,91.7,1.0341567993164062,161.37,2.46,6.47,143.4,1.0391526222229004,315.0,2.14,14.28,65.5,1.0330209732055664,172.62,9.08,13.8,98.3,1.0393986701965332,347.87,7.5,8.13,87.4,1.0335676670074463,26.46,0.0,11.63,155.3,1.0354480743408203,190.99,0.0,12.76,81.9,1.042870044708252,227.2,2.91,8.25,106.6,1.0356709957122805,190.46,0.0,7.31,99.1,1.0382647514343262,232.56,5.82,11.42,190.0,1.0407617092132568,302.34,0.0,8.02,134.2,1.038564920425415,234.93,4.4,10.44,147.1,1.035987138748169,224.38,6.8,12.69,135.1,1.0397601127624512,159.43,1.66,11.85,79.1,1.0409839153289795,122.87,10.14,14.74,184.2,1.0427989959716797,55.81,0.0,12.08,140.4,1.0382986068725586,91.93,7.92,14.24,122.7,1.03836989402771,130.43,1.3,17.77,91.5,1.0383291244506836,53.0,0.0,13.33,132.0,1.043799877166748,253.83,8.44,16.35,137.4,1.0391066074371338,2.81,7.08,13.95,135.2,1.0373892784118652,346.29,0.0,16.3,178.6,1.0411858558654783,335.92,1.31,15.71,184.1,1.044222354888916,241.96,2.74,16.15,190.9,1.0380027294158936,71.37,10.19,16.79,176.3,1.0411052703857422,,,,,,,,,,
146.6,9.32,0.03,0.2,1.045348882675171,161.19,7.22,2.25,22.6,1.0588512420654297,161.02,12.08,8.74,87.8,1.0574753284454346,314.65,0.0,12.5,95.7,1.0619277954101562,305.07,1.68,17.31,90.6,1.0585739612579346,312.98,0.12,16.36,135.3,1.0641562938690186,162.77,0.0,12.9,100.1,1.0684566497802734,246.97,0.0,7.34,84.7,1.0617773532867432,78.49,0.6,10.37,188.3,1.0615274906158447,111.71,2.26,12.33,68.1,1.0645244121551514,288.81,8.23,14.21,85.7,1.0609397888183594,112.06,0.0,9.23,66.8,1.0643601417541504,259.89,0.0,13.5,69.4,1.061945915222168,111.88,1.81,15.26,83.3,1.0640084743499756,285.03,2.09,8.15,58.2,1.0570387840270996,314.74,12.28,7.11,102.9,1.0636682510375977,116.63,0.36,13.69,118.6,1.0676727294921875,147.74,6.8,17.3,160.3,1.0638227462768557,108.63,1.13,15.53,142.9,1.0664114952087402,139.04,0.0,8.65,188.8,1.065434217453003,206.72,3.06,18.83,94.3,1.062535047531128,130.78,0.0,13.05,140.3,1.064070463180542,116.02,0.0,7.72,102.8,1.0667824745178225,48.16,0.0,17.72,110.8,1.0690641403198242,355.25,0.0,7.45,122.8,1.0691354274749756,293.29,5.89,14.32,136.2,1.0675880908966064,324.49,3.28,13.09,175.0,1.0667672157287598,357.36,0.03,14.93,143.4,1.067528486251831,275.19,11.59,16.55,163.5,1.0677025318145752,108.37,0.0,17.79,112.7,1.0623161792755127,220.52,0.0,9.5,133.5,1.0665650367736816,188.0,12.42,16.4,151.3,1.0699725151062012,172.88,7.12,15.97,165.6,1.065806865692139,74.0,0.0,14.01,142.9,1.066706657409668,255.15,2.31,14.9,165.3,1.0691041946411133,,,,,,,,,,
146.6,3.74,0.02,0.2,1.0733544826507568,161.19,7.06,2.26,22.4,1.08284592628479,161.02,2.76,8.73,87.3,1.0850584506988523,307.62,0.29,9.65,68.8,1.0860888957977295,292.76,9.44,11.58,96.3,1.082721471786499,294.61,11.16,9.95,149.6,1.088599681854248,139.48,3.4,12.88,109.2,1.0945467948913574,221.04,3.23,8.09,92.6,1.0898323059082031,45.97,10.16,14.89,88.9,1.0881736278533936,73.12,0.0,11.2,198.9,1.089986801147461,244.34,0.0,16.2,57.2,1.0864698886871338,64.25,2.87,8.89,171.7,1.0865015983581543,205.14,8.4,6.93,187.6,1.0858125686645508,51.06,0.0,6.13,145.9,1.0873148441314695,221.22,0.0,6.03,87.0,1.083967924118042,241.52,2.43,9.48,92.0,1.0877950191497805,36.39,11.75,14.13,125.5,1.0959742069244385,64.78,0.0,6.25,91.3,1.09130597114563,18.9,11.18,15.29,144.7,1.0953760147094729,47.46,2.3,10.16,114.7,1.0896666049957275,111.88,8.51,13.52,155.2,1.0864050388336182,25.22,2.91,15.41,94.6,1.087939977645874,8.09,0.0,15.16,150.1,1.0896844863891602,296.19,11.03,11.06,164.7,1.0966553688049316,238.01,2.48,13.76,142.2,1.0971195697784424,167.7,4.13,13.58,128.1,1.08941650390625,193.45,0.0,15.3,123.9,1.0902023315429688,221.66,8.96,12.32,165.5,1.094587326049805,130.25,1.84,12.67,131.4,1.0956194400787354,319.57,0.58,13.99,137.4,1.0912079811096191,74.79,0.52,17.58,156.9,1.0899834632873535,23.82,2.36,14.55,145.0,1.0945665836334229,9.76,1.64,16.52,151.3,1.0945031642913818,270.7,12.38,16.6,146.3,1.0954570770263672,82.0,0.04,17.63,173.5,1.0931642055511477,,,,,,,,,,
146.51,0.0,0.02,-0.2,1.09814190864563,161.19,0.0,1.34,14.0,1.1068480014801023,161.02,0.0,6.39,73.7,1.1096246242523191,301.11,6.71,7.33,102.9,1.109961748123169,280.28,2.03,15.65,107.2,1.111919403076172,276.5,0.0,10.6,83.5,1.117232084274292,116.98,8.83,7.93,144.7,1.121835708618164,194.94,11.59,7.8,113.7,1.1149942874908447,12.3,1.84,7.68,118.8,1.109081745147705,33.93,6.35,10.57,173.5,1.1182329654693604,200.39,0.38,13.49,82.9,1.1145422458648682,15.12,10.03,6.86,93.0,1.1117196083068848,151.52,3.35,9.62,99.5,1.1100835800170898,351.21,10.14,8.41,92.0,1.117140293121338,159.79,2.86,8.42,110.3,1.1131818294525146,174.46,0.0,12.88,183.1,1.11712908744812,317.55,0.0,9.35,86.1,1.1203088760375977,349.28,2.37,15.35,191.0,1.115117073059082,288.81,0.2,9.19,68.2,1.120039701461792,316.14,6.19,10.2,112.9,1.1182208061218262,10.9,1.84,15.63,100.0,1.114329814910889,287.05,5.54,17.43,98.4,1.1131746768951416,266.84,11.43,13.74,167.0,1.1178219318389893,176.92,0.43,12.99,108.3,1.1208999156951904,117.95,8.14,16.54,123.6,1.1218764781951904,41.48,0.0,9.32,167.8,1.121635913848877,63.46,3.43,16.22,136.6,1.121654748916626,86.04,1.9,16.1,172.7,1.1234734058380127,347.17,0.24,15.12,142.3,1.1235620975494385,173.06,8.21,14.3,163.9,1.1197385787963867,285.64,8.17,14.44,140.4,1.1179959774017334,229.83,0.0,15.29,144.9,1.1210441589355469,217.88,0.4,18.53,156.2,1.1192915439605713,96.24,2.74,18.3,170.9,1.1210157871246338,272.11,11.18,19.38,168.7,1.121166467666626,,,,,,,,,,
146.6,0.39,0.02,0.2,1.122140407562256,161.19,0.08,2.22,22.3,1.130850076675415,161.1,0.76,8.74,87.6,1.1344587802886963,294.08,5.15,5.57,52.0,1.1351611614227295,267.45,0.35,17.09,88.6,1.1350195407867432,259.72,0.24,13.11,108.3,1.1405978202819824,95.01,1.41,7.18,55.2,1.142420768737793,167.17,1.92,10.63,44.6,1.1444604396820068,340.58,0.0,15.51,111.0,1.1414108276367188,355.25,3.57,12.83,99.8,1.1462137699127195,156.97,10.93,11.86,93.9,1.13861346244812,326.87,2.14,8.41,73.8,1.1406967639923096,99.14,0.0,4.93,143.7,1.133984088897705,290.57,4.31,18.66,90.5,1.1400160789489746,93.78,8.32,9.54,125.1,1.1336557865142822,101.43,5.05,8.61,104.2,1.1396377086639404,244.86,0.03,13.28,149.7,1.1485939025878906,265.78,9.1,8.73,80.9,1.1444900035858154,206.98,0.32,12.95,120.9,1.143632888793945,221.04,0.0,6.81,102.2,1.1424198150634766,274.22,0.32,16.88,107.5,1.1409242153167725,186.86,0.0,7.6,75.5,1.1399133205413818,152.23,0.0,9.33,65.9,1.145838975906372,61.52,0.13,16.92,139.3,1.149230718612671,355.43,0.0,8.54,132.6,1.1449670791625977,283.54,4.21,16.04,119.7,1.145639419555664,295.75,3.26,13.96,157.2,1.146703004837036,312.89,0.22,13.68,135.2,1.1473493576049805,205.66,10.12,12.79,176.2,1.1499850749969482,24.87,0.0,16.24,99.1,1.1431934833526611,134.38,0.0,14.54,86.3,1.145831823348999,73.21,11.8,14.93,149.3,1.1441967487335205,55.81,10.8,15.82,183.9,1.1444425582885742,292.68,0.0,19.12,167.9,1.1455440521240234,92.55,2.26,17.0,156.7,1.145165205001831,,,,,,,,,,
146.6,3.79,0.02,0.3,1.1461472511291504,161.19,5.73,2.25,22.5,1.1553757190704346,161.02,10.15,8.76,87.6,1.1589772701263428,287.31,0.0,5.8,69.6,1.1646854877471924,255.41,12.36,12.93,83.3,1.1636245250701904,241.35,10.16,16.44,130.2,1.1689674854278564,74.27,0.0,8.85,119.6,1.1678013801574707,140.19,0.17,9.69,144.5,1.1675877571105957,306.83,11.6,16.17,74.0,1.1658248901367188,317.2,0.0,7.73,89.7,1.171273708343506,111.53,1.96,10.5,186.2,1.1665735244750977,279.14,0.0,4.63,159.0,1.1650969982147217,45.09,0.02,9.09,111.0,1.1582651138305664,229.48,0.0,9.13,96.4,1.1673107147216797,29.97,2.15,7.76,89.0,1.161823034286499,29.44,5.35,17.59,140.7,1.166466474533081,166.9,10.98,15.69,166.0,1.1773557662963867,189.4,2.54,13.76,180.0,1.1671907901763916,118.3,10.58,18.68,152.9,1.172075271606445,131.4,3.23,10.32,111.8,1.1710305213928225,175.78,10.36,11.78,175.3,1.169980764389038,90.62,0.0,10.22,130.0,1.1684865951538086,51.42,0.0,14.21,142.6,1.1700217723846436,309.38,8.64,17.95,139.4,1.1778161525726318,237.92,2.4,12.07,153.5,1.175687313079834,158.73,5.74,15.98,148.9,1.1749374866485596,165.41,0.0,14.02,129.7,1.174122333526611,178.15,10.53,13.95,163.9,1.1765873432159424,59.85,0.0,13.21,94.8,1.1786184310913086,248.73,0.61,15.31,154.2,1.1706972122192385,345.32,0.31,17.26,156.1,1.1738436222076416,273.16,1.32,17.93,110.6,1.1764955520629885,250.93,0.0,10.79,121.2,1.1688709259033203,124.89,10.26,16.71,164.8,1.1739819049835205,282.66,0.05,15.74,162.0,1.1771795749664309,,,,,,,,,,
