Angle,V_bus,V_shunt,current,time,Angle.1,V_bus.1,V_shunt.1,current.1,time.1,Angle.2,V_bus.2,V_shunt.2,current.2,time.2,Angle.3,V_bus.3,V_shunt.3,current.3,time.3,Angle.4,V_bus.4,V_shunt.4,current.4,time.4,Angle.5,V_bus.5,V_shunt.5,current.5,time.5,Angle.6,V_bus.6,V_shunt.6,current.6,time.6,Angle.7,V_bus.7,V_shunt.7,current.7,time.7,Angle.8,V_bus.8,V_shunt.8,current.8,time.8,Angle.9,V_bus.9,V_shunt.9,current.9,time.9,Angle.10,V_bus.10,V_shunt.10,current.10,time.10,Angle.11,V_bus.11,V_shunt.11,current.11,time.11,Angle.12,V_bus.12,V_shunt.12,current.12,time.12,Angle.13,V_bus.13,V_shunt.13,current.13,time.13,Angle.14,V_bus.14,V_shunt.14,current.14,time.14,Angle.15,V_bus.15,V_shunt.15,current.15,time.15,Angle.16,V_bus.16,V_shunt.16,current.16,time.16,Angle,V_bus,V_shunt,current,time
303.57,3.48,-0.01,-0.1,0.9378798007965088,303.57,3.38,14.91,149.4,0.9393303394317628,155.13,1.66,10.15,125.8,0.0010116100311279,330.38,3.39,12.69,95.6,0.9422242641448976,309.02,0.0,7.46,82.1,0.942253351211548,164.44,1.4,11.83,113.8,0.0009965896606445,267.98,0.0,7.2,120.2,0.0009965896606445,0.62,0.12,14.53,173.6,0.0,111.62,10.95,12.02,127.7,0.9428725242614746,317.29,0.04,11.56,76.4,0.001166820526123,335.3,0.97,11.75,112.9,0.0009984970092773,126.3,0.92,16.77,156.9,0.00099778175354,225.53,5.97,18.33,139.6,0.0,203.55,6.83,15.38,155.2,0.00099778175354,270.09,10.45,14.94,149.8,0.9458291530609132,43.77,1.03,15.37,153.0,0.0009965896606445,43.59,0.93,14.19,149.8,0.9333932399749756,150.01,7.77,14.28,147.4,0.9308993816375732
303.57,7.28,-0.03,-0.3,0.9687042236328124,303.57,0.0,14.9,90.7,0.962371826171875,191.25,0.0,14.79,70.8,0.0010116100311279,327.04,9.92,11.91,104.8,0.9635095596313475,304.28,2.3,17.22,101.4,0.9601683616638184,123.66,0.0,10.17,103.8,0.0009965896606445,217.88,3.36,9.88,137.8,0.0009965896606445,193.45,9.87,14.74,125.0,0.0,99.93,3.06,16.71,185.4,0.961057424545288,236.87,0.47,18.27,151.4,0.001166820526123,241.17,0.9,11.91,148.0,0.0009984970092773,22.24,8.94,13.42,177.5,0.00099778175354,108.63,0.0,9.62,100.6,0.0,77.34,0.92,13.54,102.4,0.00099778175354,246.71,3.5,13.98,132.3,0.9625129699707032,256.99,0.84,13.03,147.1,0.0009965896606445,17.4,8.31,15.46,153.6,0.9669523239135742,20.48,4.63,15.24,150.0,0.9640696048736572
303.57,1.61,-0.04,-0.3,0.9843015670776368,303.57,0.0,11.72,146.5,0.979374885559082,182.46,0.44,12.22,101.6,0.0010116100311279,323.61,2.64,11.58,105.4,0.9925565719604492,299.27,10.94,10.82,114.3,0.9932656288146972,82.53,9.61,0.15,103.2,0.0009965896606445,166.9,4.61,9.7,128.1,0.0009965896606445,132.36,1.05,10.79,128.1,0.0010099411010742,88.33,0.0,14.73,73.1,0.9876666069030762,153.63,7.5,7.15,82.3,0.001166820526123,252.42,1.07,17.81,129.1,0.0009984970092773,279.4,17.0,16.04,130.6,0.00099778175354,352.61,6.88,15.46,148.3,0.0010075569152832,312.89,1.09,14.74,178.4,0.00099778175354,222.98,0.0,15.68,91.6,0.9994745254516602,105.38,7.48,14.44,145.0,0.0009965896606445,350.86,2.18,15.01,98.3,0.983924388885498,351.39,1.18,15.49,91.5,0.9807100296020508
303.57,0.85,-0.03,-0.4,1.016037940979004,303.57,4.57,14.88,149.3,1.0124995708465576,173.14,7.51,10.59,151.0,0.0010116100311279,320.27,2.0,11.74,138.7,1.0124354362487793,294.17,0.0,6.5,93.5,1.0098261833190918,247.15,0.0,10.77,137.0,0.0009965896606445,1111.43,3.02,14.17,107.2,0.0019946098327636,71.54,0.0,11.55,128.6,0.0010099411010742,77.26,3.34,15.34,166.9,1.0112385749816897,124.45,0.69,16.81,159.5,0.001166820526123,158.47,1.0,17.26,165.1,0.0019929409027099,336.97,9.18,13.61,172.1,0.0019938945770263,96.59,1.04,15.85,111.2,0.0010075569152832,185.8,7.34,14.87,154.9,0.00099778175354,195.73,9.98,15.55,136.0,1.0292420387268066,313.24,0.0,14.89,86.6,0.0030004978179931,323.09,0.38,16.3,159.0,1.017118215560913,323.35,2.48,15.43,157.6,1.0140893459320068
303.57,10.07,-0.01,-0.3,1.0317749977111816,303.57,0.0,8.44,103.0,1.0459115505218506,163.83,0.0,10.99,70.7,0.0010116100311279,300.41,5.58,14.38,128.8,1.048933982849121,264.73,2.96,11.33,126.7,1.0479259490966797,205.49,7.47,14.67,149.7,0.0009965896606445,320.54,3.26,11.35,127.1,0.0019946098327636,11.87,9.86,10.78,139.9,0.0019254684448242,10.11,3.96,11.9,142.0,1.0445899963378906,41.48,10.71,14.24,158.8,0.001166820526123,66.27,9.13,11.7,167.4,0.0019929409027099,232.12,0.85,14.97,112.1,0.0019938945770263,343.13,0.59,13.27,180.7,0.0010075569152832,328.89,0.0,8.8,117.3,0.9628236293792723,55.81,1.68,14.66,133.0,1.045705795288086,73.3,1.74,13.92,124.5,0.9406554698944092,173.85,7.54,16.09,167.0,1.0335383415222168,164.27,4.69,14.54,155.2,1.0456767082214355
303.57,0.98,-0.07,-0.3,1.0630393028259275,303.57,2.86,14.94,149.4,1.062384843826294,155.13,1.64,10.15,125.8,0.0020079612731933,280.63,0.0,7.49,69.9,1.0597591400146484,233.88,5.42,10.78,106.3,1.076716661453247,164.44,1.4,11.83,113.8,0.0019934177398681,267.98,0.0,7.2,120.2,0.0019946098327636,237.66,9.8,11.83,142.9,0.9358890056610109,299.36,0.0,7.08,104.3,1.0662469863891602,317.29,0.04,11.56,76.4,0.001166820526123,335.3,0.97,11.75,112.9,0.0019929409027099,126.3,0.92,16.77,156.9,0.0019938945770263,225.53,5.97,18.33,139.6,0.0010075569152832,308.32,2.17,17.29,148.1,0.99568510055542,279.67,0.0,13.73,148.6,1.0790696144104004,48.16,0.0,8.66,105.8,0.9655842781066896,13.62,1.01,16.19,153.3,1.067495584487915,351.74,0.0,9.65,103.5,1.0646095275878906
303.57,0.28,-0.01,0.1,1.094273567199707,303.57,3.91,14.92,149.0,1.0991933345794678,191.25,0.0,14.79,70.8,0.0020079612731933,262.44,1.76,12.67,121.0,1.0921854972839355,202.5,0.0,6.54,74.2,1.0930912494659424,123.66,0.0,10.17,103.8,0.0019934177398681,217.88,3.36,9.88,137.8,0.0019946098327636,227.9,2.56,9.58,123.0,0.9683446884155272,230.1,3.33,17.16,136.7,1.0974037647247314,236.87,0.47,18.27,151.4,0.001166820526123,356.4,2.99,13.06,135.0,0.9605717658996582,22.24,8.94,13.42,177.5,0.0019938945770263,108.63,0.0,9.62,100.6,0.0010075569152832,287.75,1.7,14.52,177.0,1.0121681690216064,138.96,10.55,14.83,135.9,1.0956854820251465,22.68,2.68,13.7,152.7,0.9778118133544922,217.97,0.37,14.33,153.0,1.08424711227417,185.8,1.6,16.62,158.0,1.0978221893310547
303.57,8.22,-0.01,-0.2,1.1104774475097656,303.57,0.0,8.6,103.7,1.1282024383544922,182.46,0.44,12.22,101.6,0.0020079612731933,242.14,7.84,11.54,163.3,1.1255838871002195,173.58,0.8,18.15,112.4,1.1300318241119385,82.53,9.61,0.15,103.2,0.0019934177398681,166.9,4.61,9.7,128.1,0.0029926300048828,217.79,0.0,11.09,81.3,0.985976219177246,157.85,4.5,17.42,147.0,1.1263060569763184,314.56,0.0,11.81,123.1,0.9581310749053956,341.19,9.56,16.48,129.6,0.9933106899261476,279.4,17.0,16.04,130.6,0.0019938945770263,3564.42,0.0,9.2,165.0,0.9256196022033693,159.7,0.0,14.54,178.2,1.0460498332977295,353.06,0.95,15.68,84.8,1.1296746730804443,357.89,4.41,14.87,152.1,1.0121173858642578,56.6,9.62,11.55,144.7,1.122753381729126,14.06,7.04,14.73,136.3,1.1212167739868164
303.57,2.12,-0.03,-0.3,1.1418497562408447,303.57,1.18,14.89,149.4,1.149813890457153,173.14,7.51,10.59,151.0,0.0020079612731933,222.28,0.0,12.59,55.3,1.142270565032959,143.0,7.51,16.13,96.0,1.1476986408233645,247.15,0.0,10.77,137.0,0.0019934177398681,1135.07,3.04,13.65,158.9,0.9281392097473145,208.13,6.6,15.16,124.2,1.0191621780395508,86.22,0.0,9.68,115.4,1.144695520401001,300.23,3.43,11.28,121.8,0.9954168796539308,325.11,0.0,10.65,106.8,1.009746551513672,336.97,9.18,13.61,172.1,0.0019938945770263,45.26,2.39,15.13,170.6,0.9603283405303956,32.61,9.7,16.19,135.8,1.0627572536468506,217.79,0.19,14.44,136.5,1.1620581150054932,222.54,0.0,8.77,86.8,1.0438432693481443,260.51,0.98,14.97,143.3,1.1505436897277832,206.98,0.0,12.6,94.2,1.1476812362670898
303.57,0.0,-0.03,-0.4,1.1730244159698486,303.57,4.42,14.92,149.5,1.1810877323150637,163.83,0.0,10.99,70.7,0.0020079612731933,203.38,1.08,11.72,99.7,1.1762938499450684,113.38,1.04,12.63,86.2,1.1794373989105225,205.49,7.47,14.67,149.7,0.0019934177398681,26.46,0.0,15.48,68.3,0.9616820812225342,148.45,2.12,9.79,123.0,1.040452003479004,19.69,0.32,11.04,134.9,1.1615090370178225,283.8,1.05,16.33,125.4,1.0234789848327637,235.28,2.6,18.65,167.4,1.0433766841888428,232.12,0.85,14.97,112.1,0.0030024051666259,26.37,10.11,15.09,171.4,0.9908220767974854,268.51,1.6,17.52,150.3,1.1021277904510498,78.49,10.77,14.09,156.8,1.1793758869171145,83.67,0.12,15.27,149.8,1.0616581439971924,100.11,0.34,15.72,155.0,1.1672022342681885,42.45,0.1,14.78,149.1,1.1646103858947754
