Angle Raw,Bus Voltage (V),Shunt Voltage (mV),Current (mA),Angle Raw.1,Bus Voltage (V).1,Shunt Voltage (mV).1,Current (mA).1,Angle Raw.2,Bus Voltage (V).2,Shunt Voltage (mV).2,Current (mA).2,Angle Raw.3,Bus Voltage (V).3,Shunt Voltage (mV).3,Current (mA).3,Angle Raw.4,Bus Voltage (V).4,Shunt Voltage (mV).4,Current (mA).4,Angle Raw.5,Bus Voltage (V).5,Shunt Voltage (mV).5,Current (mA).5,Angle Raw.6,Bus Voltage (V).6,Shunt Voltage (mV).6,Current (mA).6,Angle Raw,Bus Voltage (V),Shunt Voltage (mV),Current (mA)
346.03,4.4,0.14,0.2,171.91,2.66,12.87,129.3,282.83,0.0,15.68,74.2,99.4,1.76,16.44,78.0,297.69,12.62,18.62,184.6,111.09,0.1,17.42,154.3,130.61,0.0,6.66,139.2,315.7,10.31,15.22,137.0
345.94,0.0,0.01,-0.2,169.37,9.05,10.06,134.4,277.03,1.11,13.79,96.0,89.74,0.0,10.13,113.7,284.5,5.88,19.0,186.2,95.1,6.62,17.22,107.0,111.36,0.29,11.8,188.9,291.45,2.61,18.39,178.5
346.03,0.59,0.01,0.2,166.82,2.72,7.46,147.1,270.88,11.85,9.42,143.9,80.16,3.5,12.39,152.7,271.32,0.0,10.29,114.9,78.49,7.54,19.19,101.2,91.23,5.84,12.89,161.6,267.89,0.0,12.86,124.5
346.03,6.86,0.03,0.3,164.27,3.42,8.32,138.8,264.46,0.0,9.55,65.7,70.66,5.96,13.38,91.8,252.51,10.71,18.05,182.0,61.52,0.0,11.51,132.6,71.46,2.32,14.2,129.4,235.2,5.9,13.54,149.4
346.03,10.78,0.05,0.2,149.41,6.54,9.77,98.1,231.68,0.41,6.24,69.1,22.68,0.0,13.81,31.7,171.47,0.0,10.34,113.0,328.62,9.4,15.48,97.6,319.75,0.04,14.43,169.4,94.39,0.0,12.6,115.9
346.03,2.62,0.02,0.2,135.18,1.03,11.78,54.6,198.81,11.52,13.11,104.4,328.97,0.21,8.76,145.0,92.11,3.17,14.47,129.7,231.5,4.39,15.79,163.4,200.48,10.98,13.77,176.2,317.55,3.66,13.42,183.2
345.94,0.0,0.01,-0.1,120.15,0.0,14.36,93.6,160.75,1.71,17.34,65.4,273.25,12.21,16.6,47.2,15.47,9.81,12.18,106.4,132.8,0.0,8.81,180.0,76.46,1.01,15.4,119.9,177.01,7.34,14.64,152.9
346.03,2.72,0.02,0.2,104.77,11.79,10.21,96.0,126.21,0.0,15.55,161.8,215.33,1.82,13.88,122.5,299.09,1.48,8.22,48.4,36.39,3.18,13.4,129.4,320.36,1.31,16.04,167.0,34.98,0.0,9.46,131.5
346.03,11.02,0.03,0.4,88.95,2.8,7.52,143.0,89.12,9.16,9.47,128.8,158.12,1.09,4.69,121.2,226.05,0.0,7.35,95.6,299.0,5.76,18.53,170.3,201.36,9.41,15.92,153.8,264.02,0.44,14.68,151.5
346.03,5.16,0.01,0.3,74.0,0.0,6.72,86.2,54.84,4.24,8.38,189.1,103.54,11.26,13.61,99.0,154.34,4.94,10.89,106.0,198.46,0.0,10.46,124.4,82.27,2.08,13.01,124.4,124.28,8.54,16.85,171.5
